#timestamp [ns],p_x [m],p_y [m],p_z [m],q_w,q_x,q_y,q_z,v_x [m/s],v_y [m/s],v_z [m/s],bg_x,bg_y,bg_z,ba_x,ba_y,ba_z
1764839834034116650,-4.605980626,44.026461693,-0.000000006,0.137023318,-0.000000000,-0.000000000,-0.990567822,0.004149988,-0.003625869,-0.000000310,0.0,0.0,0.0,0.0,0.0,0.0
1764839834057820265,-4.605936752,44.026458145,-0.000000009,0.137016593,-0.000000000,0.000000000,-0.990568752,0.003865707,0.000333423,0.000000284,0.0,0.0,0.0,0.0,0.0,0.0
1764839834083343738,-4.605984357,44.026515652,-0.000000004,0.137013496,-0.000000000,0.000000000,-0.990569181,0.004716197,-0.002047859,0.000000117,0.0,0.0,0.0,0.0,0.0,0.0
1764839834107920626,-4.606029673,44.026548066,-0.000000005,0.137007531,-0.000000000,0.000000000,-0.990570006,0.005252395,-0.002402537,0.000000118,0.0,0.0,0.0,0.0,0.0,0.0
1764839834133556008,-4.606034399,44.026608113,-0.000000004,0.137005984,-0.000000000,0.000000000,-0.990570220,0.004879434,-0.004694306,-0.000000210,0.0,0.0,0.0,0.0,0.0,0.0
1764839834157959567,-4.606108676,44.026589291,-0.000000007,0.137002473,-0.000000000,0.000000000,-0.990570705,0.005576514,-0.001139827,-0.000000087,0.0,0.0,0.0,0.0,0.0,0.0
1764839834182986439,-4.606201289,44.026625009,-0.000000005,0.137010500,-0.000000000,0.000000000,-0.990569595,0.006496320,-0.001885233,0.000000044,0.0,0.0,0.0,0.0,0.0,0.0
1764839834207959299,-4.606271871,44.026629851,-0.000000008,0.137018261,-0.000000000,0.000000000,-0.990568522,0.007711367,-0.000526375,0.000000402,0.0,0.0,0.0,0.0,0.0,0.0
1764839834233468101,-4.606171650,44.026689918,-0.000000004,0.137028935,-0.000000000,0.000000000,-0.990567045,0.006604486,-0.001327726,0.000000143,0.0,0.0,0.0,0.0,0.0,0.0
1764839834257949467,-4.606091015,44.026676110,-0.000000001,0.137030609,-0.000000000,0.000000000,-0.990566814,0.005690964,-0.000280649,-0.000000510,0.0,0.0,0.0,0.0,0.0,0.0
1764839834283213931,-4.606026460,44.026648840,-0.000000003,0.137031003,-0.000000000,0.000000000,-0.990566759,0.004752884,0.001048715,-0.000000123,0.0,0.0,0.0,0.0,0.0,0.0
1764839834307896702,-4.605903734,44.026627729,-0.000000004,0.137034246,-0.000000000,-0.000000000,-0.990566310,0.003705637,0.002470919,0.000000173,0.0,0.0,0.0,0.0,0.0,0.0
1764839834333537488,-4.605709360,44.026611193,-0.000000000,0.137033791,-0.000000000,-0.000000000,-0.990566373,0.002900883,0.003890551,0.000000251,0.0,0.0,0.0,0.0,0.0,0.0
1764839834357895152,-4.605609588,44.026583537,0.000000002,0.137033328,-0.000000000,-0.000000000,-0.990566437,0.002705053,0.001702079,-0.000000261,0.0,0.0,0.0,0.0,0.0,0.0
1764839834383053213,-4.605566200,44.026524772,0.000000001,0.137030485,-0.000000000,0.000000000,-0.990566831,0.003571133,0.001265246,-0.000000180,0.0,0.0,0.0,0.0,0.0,0.0
1764839834407887452,-4.605476453,44.026469870,0.000000002,0.137030537,-0.000000000,-0.000000000,-0.990566824,0.003802551,0.002972464,-0.000000052,0.0,0.0,0.0,0.0,0.0,0.0
1764839834433520667,-4.605278051,44.026491153,0.000000001,0.137032102,-0.000000000,0.000000000,-0.990566607,0.002741548,0.002924592,0.000000309,0.0,0.0,0.0,0.0,0.0,0.0
1764839834458092960,-4.605213719,44.026539919,0.000000004,0.137039198,0.000000000,0.000000000,-0.990565625,0.002781866,-0.001478022,0.000000015,0.0,0.0,0.0,0.0,0.0,0.0
1764839834482970131,-4.605151401,44.026563723,0.000000002,0.137044330,0.000000000,0.000000000,-0.990564915,0.002542961,-0.001532193,-0.000000089,0.0,0.0,0.0,0.0,0.0,0.0
1764839834508244739,-4.605038458,44.026599261,0.000000005,0.137044296,0.000000000,0.000000000,-0.990564920,0.001353917,-0.001921004,-0.000000409,0.0,0.0,0.0,0.0,0.0,0.0
1764839834533515133,-4.604933995,44.026658790,0.000000003,0.137048004,0.000000000,0.000000000,-0.990564407,0.001076732,-0.002553668,-0.000000438,0.0,0.0,0.0,0.0,0.0,0.0
1764839834557972154,-4.604944550,44.026706342,-0.000000001,0.137049235,0.000000000,0.000000000,-0.990564237,0.001846149,-0.002089030,0.000000384,0.0,0.0,0.0,0.0,0.0,0.0
1764839834582955936,-4.605010918,44.026733457,-0.000000002,0.137049103,0.000000000,0.000000000,-0.990564255,0.003454981,0.000020879,0.000000663,0.0,0.0,0.0,0.0,0.0,0.0
1764839834607972261,-4.605083527,44.026776103,0.000000004,0.137051913,0.000000000,-0.000000000,-0.990563866,0.004808216,-0.005140553,-0.000000625,0.0,0.0,0.0,0.0,0.0,0.0
1764839834633526304,-4.605038268,44.026831100,0.000000002,0.137062175,0.000000000,0.000000000,-0.990562446,0.004025677,-0.002728987,-0.000000143,0.0,0.0,0.0,0.0,0.0,0.0
